age,gender,height_cm,current_weight,bmi,goal,daily_water_ml,weekly_workouts,weekly_workout_duration,weekly_calories_burned,predicted_weight_after_30_days
33,Female,158,47.1,18.9,Maintenance,4332,2,78,860,47.4
59,Female,173,129.2,43.2,General Fitness,3053,7,217,4550,129.2
19,Female,168,43.1,15.3,Maintenance,4529,7,644,4893,44.2
52,Male,191,114.8,31.5,Weight Loss,3420,5,225,4305,111.4
59,Female,199,115.9,29.3,General Fitness,3528,2,132,688,116.2
51,Male,159,135.3,53.5,General Fitness,1221,7,315,5754,135.2
47,Female,163,45.4,17.1,Maintenance,2940,2,232,1756,45.4
30,Female,152,99.7,43.2,General Fitness,4881,4,476,3600,99.7
30,Female,178,82.8,26.1,Weight Loss,4152,2,218,496,81.0
35,Male,146,73.1,34.3,Muscle Gain,2946,0,0,0,74.3
49,Male,171,49.0,16.8,Weight Loss,1514,2,184,584,46.7
49,Female,154,96.3,40.6,Muscle Gain,4131,2,186,1670,97.6
52,Male,179,87.9,27.4,Weight Loss,1220,7,427,2373,85.3
56,Female,167,50.5,18.1,Weight Loss,3396,7,266,3591,48.0
46,Female,193,101.2,27.2,General Fitness,4632,0,0,0,101.8
46,Male,152,113.8,49.3,Weight Loss,1227,4,396,2588,110.5
33,Male,172,116.7,39.4,Maintenance,3337,1,59,594,116.2
27,Male,167,130.5,46.8,Maintenance,1292,3,132,2112,130.9
47,Male,148,80.9,36.9,Maintenance,3857,4,352,2308,80.7
42,Female,158,135.3,54.2,Maintenance,4264,7,539,3920,135.3
56,Male,197,126.5,32.6,General Fitness,1955,2,222,1764,126.6
37,Male,186,69.7,20.1,Maintenance,2497,1,105,747,70.1
22,Female,173,55.9,18.7,Weight Loss,2280,3,267,2523,54.7
18,Male,145,83.5,39.7,Maintenance,2978,3,291,2316,83.4
47,Male,148,80.2,36.6,General Fitness,2529,3,258,2280,80.0
20,Male,176,97.6,31.5,Muscle Gain,1387,7,651,4165,98.0
31,Male,177,98.3,31.4,Weight Loss,3662,0,0,0,96.8
47,Female,193,115.0,30.9,Weight Loss,4469,0,0,0,113.1
21,Female,170,91.0,31.5,General Fitness,3413,1,116,717,91.1
35,Male,161,50.5,19.5,Muscle Gain,3705,2,208,998,51.3
54,Male,183,125.8,37.6,Maintenance,3337,6,498,2244,125.5
42,Female,167,71.0,25.5,Muscle Gain,4840,1,88,990,71.5
18,Male,176,137.1,44.3,Weight Loss,4380,2,234,1140,135.2
32,Male,196,51.8,13.5,Weight Loss,4349,4,460,2832,48.0
26,Male,159,135.8,53.7,Weight Loss,4535,7,476,2821,133.8
32,Male,157,49.1,19.9,Muscle Gain,1188,6,264,4842,50.6
41,Male,146,63.1,29.6,Maintenance,1917,3,324,1443,63.4
21,Male,163,44.7,16.8,Weight Loss,2201,3,309,2538,42.4
29,Male,168,110.5,39.2,General Fitness,4599,0,0,0,110.5
54,Male,189,125.0,35.0,Maintenance,1923,7,455,1624,124.7
54,Male,168,83.4,29.5,Weight Loss,4035,6,498,1686,81.2
60,Female,155,132.9,55.3,Maintenance,3422,4,184,2728,132.6
23,Female,166,99.0,35.9,General Fitness,2621,5,575,1735,99.4
56,Female,159,103.0,40.7,Muscle Gain,1759,4,464,3224,104.3
41,Male,154,124.5,52.5,Weight Loss,2477,2,102,1388,121.4
28,Male,185,69.7,20.4,General Fitness,3264,4,416,1476,71.0
30,Female,171,75.4,25.8,Weight Loss,2065,6,390,5532,70.8
51,Male,153,130.6,55.8,Weight Loss,1193,6,348,5412,126.9
42,Female,196,130.1,33.9,Muscle Gain,2350,0,0,0,131.4
24,Male,172,137.6,46.5,Muscle Gain,2396,2,142,1158,139.5
21,Female,145,130.2,61.9,Maintenance,2488,1,61,633,130.7
25,Female,161,52.7,20.3,General Fitness,1162,2,86,466,53.4
37,Female,175,122.4,40.0,General Fitness,1275,1,47,762,122.5
46,Male,188,81.0,22.9,Muscle Gain,1363,5,335,4155,82.0
27,Female,154,139.1,58.7,Weight Loss,2665,2,126,674,137.1
60,Male,181,87.2,26.6,Maintenance,3822,3,222,1698,87.9
51,Male,173,95.4,31.9,Muscle Gain,3527,5,580,1525,95.8
43,Male,162,93.0,35.4,Maintenance,3736,1,61,993,92.5
58,Male,191,72.2,19.8,Maintenance,3002,0,0,0,72.0
20,Male,182,47.5,14.3,General Fitness,1459,5,460,4175,47.3
23,Male,183,129.6,38.7,Maintenance,4336,5,420,4405,129.3
22,Male,193,120.3,32.3,General Fitness,3586,5,360,3615,121.1
22,Female,150,54.0,24.0,Weight Loss,4021,1,51,367,52.0
40,Female,184,117.7,34.8,Weight Loss,4457,7,812,1939,116.1
26,Female,156,102.6,42.2,Muscle Gain,3132,1,97,745,103.6
52,Male,197,80.9,20.8,Weight Loss,2731,2,212,816,78.6
37,Male,158,65.4,26.2,General Fitness,2339,3,174,1830,65.3
59,Male,188,126.0,35.6,Maintenance,3290,5,345,1035,126.2
52,Male,199,110.0,27.8,Maintenance,4540,2,148,1872,108.9
35,Female,154,94.8,40.0,Weight Loss,3927,2,78,852,94.1
34,Male,198,101.0,25.8,General Fitness,2365,3,318,1122,100.7
41,Female,164,49.1,18.3,Maintenance,4248,7,518,1960,49.1
20,Male,159,87.4,34.6,Weight Loss,4201,2,92,1986,84.3
49,Female,175,59.4,19.4,General Fitness,1656,7,217,1792,58.8
52,Male,151,60.8,26.7,General Fitness,2106,3,138,1002,61.5
55,Female,185,106.1,31.0,Maintenance,2383,0,0,0,105.2
30,Male,154,131.1,55.3,Muscle Gain,3135,3,201,2013,131.5
42,Female,154,80.4,33.9,Muscle Gain,4603,4,264,1664,81.2
26,Male,192,60.8,16.5,General Fitness,1741,3,276,2814,59.5
21,Female,183,104.9,31.3,General Fitness,2995,3,102,675,104.4
31,Female,172,127.1,43.0,Weight Loss,4032,6,324,2316,125.6
54,Male,174,114.8,37.9,General Fitness,4709,4,408,3316,114.2
51,Female,181,126.9,38.7,Weight Loss,3518,3,153,2724,124.7
28,Male,199,93.7,23.7,Weight Loss,2521,1,92,315,91.3
58,Male,147,115.2,53.3,Weight Loss,4578,7,448,5691,111.4
20,Male,194,54.0,14.3,General Fitness,4425,6,504,2172,54.9
45,Female,187,74.8,21.4,General Fitness,3463,2,98,1226,74.2
46,Female,159,79.0,31.2,Weight Loss,4122,2,68,754,78.6
26,Male,165,91.1,33.5,Maintenance,2623,0,0,0,91.5
20,Male,196,132.9,34.6,General Fitness,1681,0,0,0,132.7
42,Female,181,127.4,38.9,Muscle Gain,4134,4,244,1644,128.8
51,Female,200,53.5,13.4,Maintenance,2112,1,92,253,53.8
29,Female,156,57.3,23.5,Muscle Gain,2724,0,0,0,57.3
59,Male,148,75.8,34.6,General Fitness,4261,2,138,1486,76.5
26,Male,191,69.1,18.9,Maintenance,1898,0,0,0,68.9
32,Male,153,101.5,43.4,General Fitness,1600,0,0,0,101.0
57,Male,183,130.3,38.9,General Fitness,4419,3,306,2094,130.3
42,Male,186,136.2,39.4,Maintenance,2867,0,0,0,135.9
22,Female,172,105.4,35.6,General Fitness,4609,7,364,6482,105.2
28,Male,167,123.8,44.4,Maintenance,2199,4,416,980,124.2
51,Female,189,92.5,25.9,General Fitness,4435,7,623,5537,92.0
41,Female,184,60.8,18.0,Weight Loss,3823,2,212,468,59.1
32,Male,188,92.5,26.2,Muscle Gain,3948,4,444,1552,93.1
55,Female,166,95.5,34.7,Weight Loss,4978,6,510,1728,93.1
25,Male,168,114.2,40.5,General Fitness,4625,4,152,2136,113.6
22,Female,195,62.0,16.3,General Fitness,1482,5,490,1675,61.7
43,Male,170,76.8,26.6,General Fitness,3010,1,91,745,77.1
35,Male,174,76.4,25.2,Weight Loss,2142,6,558,5952,72.3
23,Female,177,135.9,43.4,General Fitness,1168,6,306,1872,136.5
54,Male,160,84.4,33.0,Maintenance,4691,5,305,1855,82.6
30,Female,166,115.5,41.9,Muscle Gain,3021,5,380,2690,116.7
45,Male,193,115.1,30.9,General Fitness,3194,3,93,2262,114.9
22,Male,194,66.6,17.7,General Fitness,4759,4,456,2896,67.2
30,Male,187,97.2,27.8,Muscle Gain,4508,1,81,373,99.1
34,Female,162,129.4,49.3,Muscle Gain,1438,2,234,1672,130.6
57,Female,151,87.5,38.4,Muscle Gain,3935,2,234,1062,87.9
49,Male,194,134.5,35.7,Weight Loss,4260,1,43,406,131.8
46,Female,170,61.4,21.2,Weight Loss,1159,6,396,3252,57.6
20,Male,152,47.4,20.5,General Fitness,1813,4,224,1212,47.4
57,Female,150,129.1,57.4,Muscle Gain,4931,7,371,5887,130.0
51,Female,174,124.8,41.2,General Fitness,3449,4,372,956,124.4
57,Male,183,139.3,41.6,General Fitness,1585,3,297,666,139.5
44,Male,167,107.9,38.7,General Fitness,1863,3,165,1353,108.9
30,Male,176,133.7,43.2,Weight Loss,2041,5,415,2445,132.2
50,Male,166,122.7,44.5,Muscle Gain,1139,2,88,802,122.8
23,Male,186,124.4,36.0,General Fitness,2138,3,174,1062,124.6
41,Female,187,96.9,27.7,Weight Loss,1327,1,103,766,96.2
36,Female,189,78.2,21.9,Maintenance,1224,2,114,610,77.4
33,Male,153,133.5,57.0,Maintenance,1557,6,528,2754,133.9
57,Male,175,83.2,27.2,General Fitness,3486,7,714,2793,83.1
45,Male,151,93.9,41.2,General Fitness,2573,6,300,2496,93.6
50,Female,153,84.6,36.1,Muscle Gain,2741,4,156,2440,85.0
58,Male,157,96.5,39.1,Muscle Gain,1385,2,66,1516,97.1
30,Male,147,87.1,40.3,General Fitness,1520,0,0,0,87.2
60,Female,179,44.8,14.0,Weight Loss,2276,2,66,1246,42.9
42,Female,177,128.2,40.9,General Fitness,3667,3,105,1233,128.8
59,Female,165,84.4,31.0,Muscle Gain,4972,7,833,2478,85.6
53,Female,175,98.9,32.3,Muscle Gain,2121,1,109,462,99.3
44,Male,196,53.9,14.0,Weight Loss,3834,4,404,2824,51.7
55,Female,178,40.3,12.7,General Fitness,4142,4,180,1400,40.8
24,Female,176,64.5,20.8,Muscle Gain,3598,3,201,1233,65.7
22,Male,179,110.5,34.5,General Fitness,2833,3,234,1173,110.7
60,Male,159,49.9,19.7,Muscle Gain,4984,3,270,2862,50.2
48,Male,200,130.9,32.7,Maintenance,1446,0,0,0,131.3
40,Female,176,61.5,19.9,Maintenance,4161,1,112,740,61.1
59,Male,150,60.5,26.9,Maintenance,4501,0,0,0,60.7
27,Female,189,58.2,16.3,Muscle Gain,2242,3,138,1113,59.9
49,Female,165,41.4,15.2,Weight Loss,1106,1,57,570,40.1
60,Female,177,117.2,37.4,Maintenance,2499,6,438,5448,117.8
47,Male,176,127.5,41.2,Muscle Gain,3963,6,246,2124,129.3
56,Female,196,101.4,26.4,General Fitness,2477,3,297,1017,102.3
48,Male,163,58.8,22.1,Maintenance,1903,1,100,455,58.6
35,Male,177,68.5,21.9,Weight Loss,2631,7,707,6125,63.1
53,Male,172,87.6,29.6,Weight Loss,4986,4,128,3380,84.1
19,Female,175,135.4,44.2,Weight Loss,3591,0,0,0,134.8
31,Female,165,64.7,23.8,General Fitness,2149,5,250,2640,65.2
30,Female,198,113.2,28.9,General Fitness,2170,3,111,1731,113.9
46,Male,178,83.9,26.5,Weight Loss,3327,3,279,1395,82.7
29,Female,159,69.8,27.6,Weight Loss,1023,2,176,1480,68.8
56,Female,158,85.6,34.3,Weight Loss,1951,5,295,1690,83.8
19,Female,163,47.1,17.7,General Fitness,2744,7,427,5572,46.4
49,Female,187,119.9,34.3,General Fitness,3039,4,416,2844,120.4
30,Female,159,64.3,25.4,Muscle Gain,1119,3,147,1344,65.1
44,Male,150,112.5,50.0,Maintenance,4857,7,315,6608,112.9
58,Male,196,46.8,12.2,General Fitness,2675,0,0,0,47.1
34,Male,153,135.5,57.9,Weight Loss,2320,4,356,3088,131.3
57,Male,181,59.3,18.1,Maintenance,1854,3,222,2952,59.3
48,Female,164,128.3,47.7,General Fitness,2015,0,0,0,128.0
51,Male,178,120.9,38.2,Maintenance,3991,2,160,1994,121.1
41,Female,182,136.8,41.3,Muscle Gain,4153,2,180,1920,137.3
52,Male,170,87.8,30.4,General Fitness,1447,6,414,4698,88.5
23,Male,162,112.7,42.9,Weight Loss,2935,0,0,0,111.2
36,Male,172,77.1,26.1,Weight Loss,2743,4,384,2436,74.0
47,Female,199,58.4,14.7,Muscle Gain,1995,0,0,0,59.5
24,Female,195,84.3,22.2,Muscle Gain,2942,5,525,1395,84.9
27,Male,153,56.6,24.2,Muscle Gain,4541,0,0,0,58.7
58,Female,176,138.2,44.6,Muscle Gain,2446,2,164,672,139.5
49,Male,197,49.6,12.8,Muscle Gain,4616,2,66,824,51.8
51,Male,200,98.9,24.7,General Fitness,4095,2,104,1636,99.1
45,Male,150,102.6,45.6,General Fitness,2084,5,280,2030,103.1
32,Female,158,93.8,37.6,Maintenance,4894,3,198,2589,93.5
47,Male,172,106.2,35.9,Muscle Gain,2724,6,636,1992,106.3
54,Male,168,51.6,18.3,Weight Loss,3131,5,360,1825,49.0
46,Male,157,95.5,38.7,Weight Loss,3272,3,198,2106,93.4
39,Female,187,68.7,19.6,Muscle Gain,4751,5,570,3145,68.9
21,Male,156,134.0,55.1,Muscle Gain,1185,1,58,379,134.9
37,Female,195,116.2,30.6,Muscle Gain,3422,3,174,960,116.9
49,Male,163,137.3,51.7,Muscle Gain,1071,4,312,1492,137.7
53,Female,165,43.8,16.1,Muscle Gain,1073,4,416,2120,45.3
21,Male,171,68.5,23.4,Weight Loss,2920,6,480,1602,65.6
44,Male,163,59.5,22.4,Maintenance,2364,7,553,6286,59.4
34,Female,168,41.1,14.6,Muscle Gain,3200,2,114,674,41.5
29,Female,170,64.2,22.2,Muscle Gain,3143,5,515,2535,65.9
39,Male,189,107.9,30.2,Muscle Gain,4636,0,0,0,108.3
34,Female,172,63.1,21.3,General Fitness,3492,2,170,874,63.4
27,Male,190,90.9,25.2,Weight Loss,4757,6,558,4374,88.0
18,Male,200,128.8,32.2,Weight Loss,4181,0,0,0,127.3
39,Male,162,109.4,41.7,Maintenance,2481,5,230,1750,109.8
43,Female,188,79.5,22.5,General Fitness,3875,2,236,1638,79.3
35,Male,180,77.2,23.8,General Fitness,4122,2,168,1728,77.8
31,Female,186,85.6,24.7,General Fitness,3424,7,266,3605,86.3
46,Male,173,57.7,19.3,Maintenance,1764,7,826,1652,58.0
29,Female,161,103.4,39.9,Maintenance,2096,4,388,3428,103.2
53,Female,148,76.4,34.9,Maintenance,1211,0,0,0,76.6
52,Male,188,125.2,35.4,General Fitness,4503,1,108,996,125.2
29,Female,189,115.7,32.4,Weight Loss,1723,1,45,819,113.9
24,Male,173,101.1,33.8,General Fitness,4834,2,90,970,100.4
46,Male,148,76.4,34.9,Maintenance,4239,7,294,3073,76.4
28,Male,154,61.0,25.7,General Fitness,3822,5,535,4065,61.0
50,Male,169,117.6,41.2,Muscle Gain,3378,2,230,838,118.2
23,Male,175,88.6,28.9,General Fitness,2765,6,684,1236,89.5
32,Female,147,62.5,28.9,General Fitness,1750,4,408,1660,62.2
49,Male,191,59.5,16.3,Weight Loss,4858,7,644,6160,54.0
28,Female,146,56.5,26.5,Weight Loss,2517,6,420,4710,53.5
40,Female,169,117.7,41.2,Weight Loss,4214,0,0,0,116.0
43,Male,193,62.9,16.9,Muscle Gain,4653,6,582,4428,64.7
51,Female,150,92.7,41.2,Weight Loss,2468,7,721,6916,88.8
51,Male,170,85.2,29.5,Muscle Gain,3871,2,76,1366,86.5
46,Female,152,98.0,42.4,Maintenance,1393,6,480,1452,98.3
21,Female,179,127.7,39.9,Weight Loss,1511,5,385,2530,124.4
34,Female,171,126.8,43.4,General Fitness,1685,1,109,292,127.1
52,Male,169,85.1,29.8,General Fitness,4919,0,0,0,85.3
30,Female,162,41.5,15.8,Muscle Gain,3668,2,94,936,42.0
58,Male,198,82.6,21.1,Weight Loss,2738,0,0,0,81.9
56,Female,145,100.6,47.8,General Fitness,2720,7,798,6244,100.2
32,Female,192,95.8,26.0,Maintenance,2826,4,332,1656,95.5
46,Female,183,105.1,31.4,Weight Loss,4399,6,648,1878,103.5
46,Female,147,55.4,25.6,Maintenance,3651,1,44,384,55.4
28,Male,199,104.7,26.4,General Fitness,2282,5,200,1620,104.8
49,Male,148,58.3,26.6,Weight Loss,2857,0,0,0,56.9
19,Female,185,115.1,33.6,Muscle Gain,4508,1,76,436,116.0
31,Female,181,73.9,22.6,General Fitness,3765,6,294,5112,74.1
37,Male,195,111.0,29.2,Maintenance,4635,2,102,714,110.9
39,Male,159,44.8,17.7,Weight Loss,3396,7,539,4711,41.7
28,Male,152,80.8,35.0,Maintenance,4764,5,555,3520,80.9
44,Male,182,110.5,33.4,Maintenance,4886,5,225,2365,110.3
20,Female,194,62.7,16.7,Muscle Gain,3562,3,102,948,63.7
34,Female,163,119.5,45.0,Muscle Gain,4520,0,0,0,120.4
45,Male,200,103.1,25.8,General Fitness,3446,7,784,5145,103.2
46,Male,191,98.8,27.1,Muscle Gain,4667,1,103,259,100.3
38,Male,170,75.4,26.1,Muscle Gain,3261,0,0,0,75.7
33,Male,183,88.2,26.3,General Fitness,4617,2,180,1952,88.0
54,Male,154,99.7,42.0,General Fitness,3609,2,212,758,99.3
37,Male,182,87.2,26.3,General Fitness,2312,7,588,3017,87.0
23,Female,158,109.8,44.0,General Fitness,2864,6,318,4050,110.3
36,Female,193,83.4,22.4,Maintenance,4330,5,260,4270,82.4
22,Female,185,60.2,17.6,Maintenance,3305,7,812,3108,60.3
20,Male,163,61.4,23.1,General Fitness,2411,5,200,3960,60.8
18,Male,174,40.6,13.4,General Fitness,2807,1,76,837,41.2
55,Male,149,70.1,31.6,Weight Loss,3741,4,124,3392,66.7
32,Female,199,114.9,29.0,Weight Loss,2568,0,0,0,113.8
51,Male,175,119.4,39.0,Weight Loss,4336,0,0,0,119.5
52,Male,151,60.2,26.4,Muscle Gain,4384,2,80,1610,60.1
42,Female,163,135.9,51.1,Maintenance,2063,0,0,0,135.9
41,Male,175,90.2,29.5,Maintenance,1997,1,102,327,90.7
29,Female,196,131.7,34.3,Weight Loss,3867,3,123,1248,129.1
35,Female,183,110.7,33.1,Weight Loss,3257,7,455,6370,107.1
32,Male,168,112.2,39.8,Maintenance,3319,5,260,1095,111.8
33,Female,178,48.5,15.3,Muscle Gain,4207,2,112,1532,49.5
44,Male,167,62.0,22.2,Weight Loss,1598,7,819,6699,57.2
25,Female,192,40.9,11.1,General Fitness,2083,5,215,4810,42.1
42,Male,189,111.6,31.2,Weight Loss,4581,5,415,1295,109.3
34,Female,184,74.4,22.0,Maintenance,4747,5,280,4370,74.2
46,Male,150,118.7,52.8,Maintenance,4586,3,150,2739,117.9
25,Female,182,73.9,22.3,Weight Loss,4086,7,546,6566,69.0
32,Female,185,121.9,35.6,Weight Loss,4685,0,0,0,121.7
44,Female,180,53.1,16.4,General Fitness,4070,4,424,3024,53.5
24,Male,171,57.3,19.6,General Fitness,3302,5,505,1980,56.8
20,Male,155,74.1,30.8,Muscle Gain,3784,1,73,691,74.8
46,Female,149,80.8,36.4,Muscle Gain,1721,5,365,4385,81.9
41,Male,161,74.9,28.9,General Fitness,3582,5,450,3515,74.2
20,Female,196,116.4,30.3,Muscle Gain,4306,7,497,3122,116.8
37,Male,151,49.7,21.8,Muscle Gain,2154,0,0,0,50.4
32,Female,171,75.1,25.7,Weight Loss,4741,6,612,5946,70.9
42,Male,191,123.7,33.9,General Fitness,2708,1,30,459,122.9
47,Female,159,46.7,18.5,Weight Loss,4071,0,0,0,46.0
31,Female,190,134.2,37.2,Weight Loss,1016,5,420,1980,131.9
24,Female,157,138.6,56.2,Muscle Gain,3929,7,315,2142,138.6
34,Female,155,48.9,20.4,Weight Loss,4001,6,708,5880,43.8
37,Male,189,69.1,19.3,Maintenance,3873,0,0,0,68.6
53,Female,170,77.2,26.7,Muscle Gain,1991,0,0,0,78.8
26,Male,166,117.6,42.7,Maintenance,1877,2,192,718,118.0
55,Male,172,99.6,33.7,Muscle Gain,3232,3,147,1863,100.1
39,Female,168,104.4,37.0,Weight Loss,4462,6,288,4836,100.8
19,Male,173,115.8,38.7,Muscle Gain,2446,4,168,1624,116.5
41,Male,153,51.8,22.1,Maintenance,4917,6,276,3072,51.1
25,Male,186,123.3,35.6,Muscle Gain,2465,3,321,1893,123.9
28,Female,148,110.6,50.5,Maintenance,4767,3,177,1302,110.5
30,Male,193,97.7,26.2,General Fitness,2678,1,115,526,98.1
34,Male,190,129.0,35.7,Weight Loss,4627,2,144,1356,126.9
25,Female,200,110.0,27.5,Maintenance,4083,2,154,1254,110.6
38,Female,162,60.2,22.9,General Fitness,2543,0,0,0,60.3
35,Male,187,83.0,23.7,Weight Loss,1079,3,285,897,81.1
47,Female,160,89.4,34.9,General Fitness,3856,6,492,2622,90.0
35,Male,177,45.5,14.5,Maintenance,4745,4,404,1224,45.6
48,Male,173,135.5,45.3,Weight Loss,3349,1,107,563,134.1
55,Male,183,52.9,15.8,General Fitness,4287,6,378,5046,52.9
49,Female,154,109.7,46.3,Maintenance,2271,2,212,1384,110.0
28,Male,153,90.6,38.7,General Fitness,2564,0,0,0,91.3
42,Female,175,42.6,13.9,Weight Loss,2295,4,404,3096,41.1
50,Female,172,132.5,44.8,Weight Loss,3180,3,300,816,131.7
55,Male,147,125.2,57.9,Weight Loss,2028,7,294,6279,120.6
58,Female,198,92.4,23.6,Maintenance,3803,7,833,5796,91.5
25,Female,199,62.9,15.9,General Fitness,2565,6,510,3018,62.9
28,Female,158,52.2,20.9,General Fitness,3676,4,352,816,52.3
39,Female,169,76.3,26.7,Maintenance,2713,7,427,5509,75.2
41,Female,159,65.5,25.9,Weight Loss,2009,2,224,1096,63.1
58,Male,146,90.7,42.6,Muscle Gain,1772,7,756,4193,91.2
34,Female,168,136.6,48.4,Weight Loss,4818,1,83,794,135.7
29,Male,158,97.5,39.1,Muscle Gain,3188,6,186,3792,98.2
49,Male,192,129.0,35.0,Weight Loss,1482,7,462,5397,124.1
32,Male,151,105.1,46.1,Maintenance,4376,3,336,918,105.3
33,Male,180,87.5,27.0,Muscle Gain,3392,1,62,316,88.9
39,Male,194,125.5,33.3,Maintenance,2585,5,150,2910,125.0
45,Male,168,87.1,30.9,Muscle Gain,4341,7,399,1967,87.8
37,Female,171,126.9,43.4,General Fitness,4179,7,322,5964,128.0
50,Female,181,69.2,21.1,Muscle Gain,2581,4,344,3732,69.9
27,Female,182,52.9,16.0,Muscle Gain,3521,7,693,4263,53.7
57,Male,174,125.5,41.5,Muscle Gain,2105,7,567,1883,127.2
49,Female,171,98.7,33.8,General Fitness,4709,4,292,2344,99.1
50,Female,183,128.9,38.5,Maintenance,2107,0,0,0,128.2
19,Female,159,133.8,52.9,General Fitness,4361,3,228,1488,133.9
50,Male,170,45.4,15.7,Muscle Gain,4142,4,168,3264,46.3
50,Female,145,90.1,42.9,Weight Loss,1174,2,210,1836,89.1
58,Male,200,77.5,19.4,General Fitness,2851,5,295,1320,77.4
30,Female,148,102.6,46.8,Weight Loss,1841,2,228,1548,100.1
47,Male,173,119.4,39.9,General Fitness,4534,1,95,377,119.8
50,Male,145,68.1,32.4,General Fitness,2872,5,410,1035,67.5
30,Male,187,95.7,27.4,Muscle Gain,4466,7,329,2506,97.2
43,Female,194,110.9,29.5,Maintenance,3913,5,285,1050,111.0
39,Female,190,53.4,14.8,Maintenance,4162,2,66,1968,53.3
56,Male,166,121.4,44.1,Muscle Gain,3516,7,497,4270,121.1
19,Female,155,100.6,41.9,General Fitness,2886,4,140,3224,102.1
55,Male,154,135.0,56.9,Maintenance,4505,2,76,708,134.5
56,Male,161,74.0,28.5,Maintenance,4320,3,147,1215,73.0
43,Female,180,50.8,15.7,Maintenance,3691,1,67,314,51.0
32,Female,200,90.7,22.7,Muscle Gain,3728,6,582,3468,92.0
51,Female,191,48.6,13.3,Weight Loss,1954,5,395,3990,44.2
59,Male,170,137.0,47.4,Weight Loss,2595,7,623,6356,132.4
57,Male,192,43.9,11.9,Weight Loss,4952,3,126,1647,41.7
28,Female,165,115.4,42.4,Weight Loss,3896,4,284,1188,112.8
20,Male,157,92.5,37.5,Weight Loss,3288,4,388,872,92.0
23,Female,153,76.9,32.9,Maintenance,3749,2,108,1024,76.9
26,Male,155,46.6,19.4,Maintenance,4567,0,0,0,46.1
23,Female,155,102.2,42.5,General Fitness,1339,5,205,3780,101.6
26,Female,150,98.5,43.8,Maintenance,3840,5,465,4330,98.6
56,Male,145,68.1,32.4,Muscle Gain,1743,0,0,0,69.3
48,Female,198,131.0,33.4,General Fitness,2494,4,360,1720,131.7
49,Female,150,70.4,31.3,Maintenance,3510,4,328,3472,71.0
58,Male,157,85.0,34.5,General Fitness,3848,6,330,4944,84.3
29,Female,166,94.4,34.3,General Fitness,4346,6,540,3348,94.8
25,Male,200,50.0,12.5,Weight Loss,2848,5,195,2910,46.7
25,Female,175,133.2,43.5,General Fitness,1014,6,246,4266,133.1
45,Male,166,77.5,28.1,Maintenance,4112,6,306,1458,77.3
37,Female,181,48.1,14.7,Weight Loss,2988,7,574,3948,45.6
24,Female,191,78.7,21.6,Maintenance,1207,1,50,821,79.3
28,Female,171,100.0,34.2,Weight Loss,2083,5,320,1550,98.5
37,Female,194,91.4,24.3,Maintenance,3412,4,400,1688,91.2
33,Male,196,109.5,28.5,Weight Loss,4311,7,777,4095,106.5
21,Male,158,45.5,18.2,Weight Loss,3655,4,224,1856,43.0
23,Male,191,68.5,18.8,Muscle Gain,4861,6,534,2820,69.2
39,Male,149,121.9,54.9,Maintenance,3207,1,76,411,122.1
43,Male,180,48.0,14.8,General Fitness,1396,6,570,4170,48.9
20,Male,176,125.5,40.5,Weight Loss,2957,6,264,3078,122.9
58,Male,178,49.2,15.5,Maintenance,1793,3,159,2907,49.2
59,Female,151,123.4,54.1,Weight Loss,3547,3,339,1758,121.6
31,Female,186,76.1,22.0,Muscle Gain,1208,1,39,446,77.0
28,Female,192,101.2,27.5,Muscle Gain,2156,1,117,766,103.1
35,Female,154,55.3,23.3,Muscle Gain,4452,3,159,1647,56.4
29,Male,194,46.6,12.4,Muscle Gain,1432,3,351,813,47.0
40,Male,161,61.6,23.8,General Fitness,3656,3,258,1485,62.1
29,Male,174,52.8,17.4,General Fitness,2754,3,189,1236,52.6
30,Female,165,71.2,26.2,Weight Loss,3436,5,350,2470,68.4
42,Male,157,91.4,37.1,Maintenance,4044,5,345,1850,91.4
36,Female,145,98.9,47.0,Muscle Gain,1582,6,240,2670,100.6
53,Male,145,119.0,56.6,Muscle Gain,1431,2,238,680,120.6
25,Male,191,105.6,28.9,General Fitness,2297,6,180,4890,106.1
46,Male,177,100.9,32.2,General Fitness,1350,1,59,816,101.3
49,Male,182,81.2,24.5,Muscle Gain,1133,0,0,0,82.2
35,Female,169,87.4,30.6,Maintenance,4137,2,222,1020,87.6
23,Female,170,81.5,28.2,Weight Loss,1638,0,0,0,81.5
35,Male,157,124.2,50.4,Weight Loss,2228,0,0,0,123.5
36,Female,172,63.0,21.3,Weight Loss,4369,4,304,3964,59.9
39,Male,177,40.6,13.0,Weight Loss,1116,7,266,1547,40.0
54,Male,181,105.1,32.1,Maintenance,2290,1,38,277,104.5
49,Male,185,60.2,17.6,Maintenance,2817,5,150,3370,60.4
58,Male,174,129.0,42.6,Maintenance,3196,2,200,1812,128.6
20,Female,193,125.9,33.8,General Fitness,4265,6,438,3312,125.8
45,Male,192,47.7,12.9,Muscle Gain,2703,1,88,570,49.0
27,Male,152,50.6,21.9,Maintenance,2847,3,255,660,50.4
52,Female,193,89.5,24.0,Weight Loss,4957,1,80,706,88.6
46,Male,191,100.9,27.7,Maintenance,3226,0,0,0,100.6
32,Female,200,67.5,16.9,Muscle Gain,3195,5,335,4715,69.1
